real_time_tactics	subgenre	
battle_royale	subgenre	
trading_card_game	subgenre	
crpg	subgenre	
god_game	subgenre	
soulslike	subgenre	
chess	subgenre	
typing	subgenre	
spectacle_fighter	subgenre	
onrails_shooter	subgenre	
sokoban	subgenre	
pinball	subgenre	
mystery_dungeon	subgenre	
solitaire	subgenre	
immersive_sim	subgenre	
spelling	subgenre	
star_wars	theme	franchise
warhammer_40k	theme	franchise
dungeons_and_dragons	theme	franchise
lego	theme	franchise
tanks	theme	military
naval	theme	military
historical	theme	period
medieval	theme	period
world_war_ii	theme	period
alternate_history	theme	period
western	theme	period
cold_war	theme	period
world_war_i	theme	period
rome	theme	period
parkour	theme	sport
romance	theme	story
detective	theme	story
otome	theme	story
time_travel	theme	time
retro	theme	visuals
comic_book	theme	visuals
scifi	theme	
fantasy	theme	
family_friendly	theme	
survival	theme	
space	theme	
mystery	theme	
management	theme	
tactical	theme	
memes	theme	
education	theme	
war	theme	
postapocalyptic	theme	
surreal	theme	
economy	theme	
cyberpunk	theme	
magic	theme	
military	theme	
aliens	theme	
destruction	theme	
logic	theme	
steampunk	theme	
lgbtqplus	theme	
illuminati	theme	
pirates	theme	
science	theme	
game_development	theme	
political	theme	
politics	theme	
trains	theme	
swordplay	theme	
agriculture	theme	
underwater	theme	
superhero	theme	
mythology	theme	
supernatural	theme	
nature	theme	
satire	theme	
philisophical	theme	
programming	theme	
capitalism	theme	
america	theme	
faith	theme	
investigation	theme	
mars	theme	
conspiracy	theme	
sniper	theme	
diplomacy	theme	
heist	theme	
underground	theme	
gambling	theme	
submarine	theme	
transhumanism	theme	
pool	theme	
parody	theme	
snow	theme	
transportation	theme	
turnbased	time	
realtime	time	
realtime_with_pause	time	
rpgmaker	tool	
gamemaker	tool	
2d	viewpoint	
firstperson	viewpoint	
third_person	viewpoint	
side_scroller	viewpoint	
topdown	viewpoint	
isometric	viewpoint	
2_5d	viewpoint	
3d	viewpoint	
split_screen	viewpoint	
cute	visuals	emotion
pixel_graphics	visuals	
anime	visuals	
colorful	visuals	
minimalist	visuals	
realistic	visuals	
cartoony	visuals	
stylized	visuals	
handdrawn	visuals	
abstract	visuals	
cartoon	visuals	
beautiful	visuals	
voxel	visuals	
psychedelic	visuals	
noir	visuals	
cinematic	visuals	
mature	warning	adjective
nudity	warning	risque
sexual_content	warning	risque
nsfw	warning	risque
violent	warning	scary
gore	warning	scary
blood	warning	scary
