8880	174	282
8890	102	118
8930	80929	84484
8970	29	41
9000	195	229
9010	2728	2991
9030	121	137
9040	182	195
9060	160	199
9160	263	321
9180	751	808
9350	672	782
9420	3063	3188
9460	321	523
9480	4509	5935
9500	76	104
9710	32	75
9730	44	124
9760	145	179
9800	334	454
9850	62	108
9880	2100	2944
9900	7745	10196
9940	625	745
9960	8	19
9970	5	24
9980	32	48
10100	96	122
10110	112	142
10120	12	27
10130	537	673
10140	44	68
10180	13309	14782
10230	25	81
10240	14	21
10250	11	22
10260	7	17
10270	362	546
10460	41	79
10500	7292	8306
10520	0	0
11020	8426	9701
11040	90	123
11050	75	109
11130	59	192
11140	146	188
11150	76	125
11180	28	91
11190	257	344
11230	230	317
11240	218	421
11250	19	25
11260	65	114
11280	492	550
11330	408	487
11340	367	480
11360	289	393
11370	121	208
11390	533	945
11450	2473	2655
11480	237	295
11560	60	98
11590	141	316
11610	1460	1968
11920	9	11
12130	593	895
12160	325	381
12170	132	159
12180	103	118
12200	7010	8532
12310	56	69
12320	1364	1676
12330	247	304
12340	40	62
12360	1741	2099
12390	50	88
12420	10	48
12430	28	88
12440	20	35
12450	12	21
12460	81	146
12470	167	262
12480	70	123
12500	499	573
12510	18	103
12520	193	274
12530	26	34
12540	7	8
12560	14	34
12570	4	6
12580	2	4
12590	21	37
12600	4	24
12640	178	234
12650	0	1
12660	2	4
12670	3	6
12690	102	130
12710	695	756
12810	1722	1979
12900	7153	7469
13000	44	47
13140	1515	2240
13250	729	774
13560	845	995
13570	1617	1747
13600	761	878
13630	37	41
15080	230	311
15130	1690	1874
15160	39	65
15170	1160	1338
15200	227	364
15210	666	783
15240	70	95
15320	1049	1187
15350	3	7
15370	719	782
15380	78	97
15400	70	88
15500	329	435
15520	475	564
15540	125	422
15560	395	481
15700	1288	1399
15710	732	773
15740	414	560
15750	687	813
15800	1	2
15900	21	25
15910	6	9
15920	7	19
15930	27	30
15960	12	17
15970	24	39
16000	2	8
16020	5	11
16030	19	24
16040	13	21
16060	7	12
16100	19	26
16110	11	14
16120	38	43
16130	30	37
16180	28	35
16200	19	25
16300	79	85
16500	8	9
16600	164	195
16620	19	31
16710	241	324
16810	262	331
16900	490	634
17080	6462	8191
17100	163	197
17120	48	60
17140	95	126
17180	13	18
17390	13892	15845
17410	13179	15014
17430	2141	3163
17440	441	543
17470	6669	7419
17480	3959	4747
17500	5326	6263
17570	3917	4515
17580	751	903
17710	1075	1364
17740	682	799
18040	323	346
18050	63	73
18070	67	88
18120	128	164
18300	260	346
18400	50	84
18420	56	68
18430	0	1
18470	37	50
18480	23	39
18500	2769	2851
18600	10	13
18700	165	208
18820	236	298
19020	7	12
19030	55	74
19080	1	7
19200	174	313
19320	2	5
19500	8	47
19810	17	21
19830	747	813
19980	878	1128
20200	5	12
20500	5168	5718
20510	4409	5163
20530	1096	1236
20550	291	541
20700	48	62
20710	56	68
20820	450	469
20900	24559	28542
21000	807	1004
21130	1208	1575
21300	18	26
21400	4	4
21500	3	6
21600	57	163
21640	90	118
21660	266	387
21800	256	357
22000	2450	2619
22100	2621	2866
22120	1284	1363
22130	194	240
22180	1460	1622
22200	1278	1463
22230	2046	2248
22320	7378	7823
22350	3568	5914
22500	101	116
22600	1645	1959
22610	406	531
22650	148	192
22670	147	197
23150	10	14
23300	52	63
23310	1931	2378
23380	90	137
23400	122	157
23420	103	151
23450	276	376
23455	0	0
23460	69	85
23490	537	596
23500	112	238
23530	576	649
23600	58	68
23700	56	94
24010	5856	9397
24200	10206	12902
24400	213	298
24410	11	22
24420	447	490
24460	10	24
24480	117	220
24640	3	14
24650	7	11
24660	7	10
24670	351	559
24720	1785	2224
24740	6395	7311
24780	2826	3758
24790	2131	2411
24800	866	1015
24810	973	1043
24840	1589	2019
24870	994	1374
25000	2115	2781
25010	177	214
25500	40	83
25600	171	197
25620	41	48
25700	149	176
25800	830	969
25808	19	19
25830	956	1042
25850	57	77
25890	2749	3564
25900	1048	1150
25910	111	137
25930	41	84
25980	259	374
25990	290	307
26000	126	158
26500	219	241
26800	4138	4399
26900	122	132
27000	417	550
27020	182	291
27050	46	88
27200	11	14
27330	116	290
27400	67	89
27600	19	20
27800	29	42
27810	35	44
27900	68	170
27920	73	141
27940	146	405
29120	7	7
29130	80	85
29160	79	106
29180	342	380
29540	5	5
29560	0	0
29570	27	28
29580	0	0
29700	1	1
29800	2780	3506
